City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Akyab,MM,69.57,clear sky,20.15,92.9,Hotel Memory
329,Labuan,MY,78.96,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
331,Calvinia,ZA,85.05,scattered clouds,-31.4707,19.776,Die Lemoenhuis
332,San Cristobal,VE,78.66,broken clouds,7.7669,-72.225,Posada Villaven C.A.
334,Cockburn Town,TC,76.33,few clouds,21.4612,-71.1419,Osprey Beach Hotel
335,Bandarbeyla,SO,75.69,broken clouds,9.4942,50.8122,JABIR HOTEL
338,Maningrida,AU,75.97,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
339,Merauke,ID,80.4,overcast clouds,-8.4667,140.3333,
340,Codajas,BR,84.81,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
341,Bac Lieu,VN,78.82,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
342,Faanui,PF,81.03,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
344,Hualmay,PE,75.74,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
345,Requena,ES,50.13,overcast clouds,39.4883,-1.1004,Hotel Avenida
346,Biak,ID,76.08,overcast clouds,-0.9131,122.8766,Penginapan Kim
347,Alice Springs,AU,58.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
348,Lodja,CD,73.6,light rain,-3.4833,23.4333,
352,Xihe,CN,36.46,overcast clouds,31.6864,113.4659,Xintiandi Business Hotel
353,Nhulunbuy,AU,77.61,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
356,Wad Rawah,SD,68.54,few clouds,15.1603,33.1397,ود الترابي
358,Soto La Marina,MX,51.78,few clouds,23.7667,-98.2167,Hotel Chicago
359,Mwinilunga,ZM,62.46,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
360,Toamasina,MG,83.86,overcast clouds,-18.1667,49.3833,Hotel H1
361,Kalabo,ZM,68.43,moderate rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
365,Svetlogorsk,BY,33.82,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
366,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
367,Karratha,AU,84.65,broken clouds,-20.7377,116.8463,ibis Styles Karratha
368,Te Anau,NZ,39.87,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
369,Sabha,LY,58.14,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
370,Laguna,US,59.09,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
372,Valleyview,CA,36.07,overcast clouds,55.0667,-117.2859,Paradise Inn & Suites
373,Tevaitoa,PF,80.91,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
374,Tuatapere,NZ,50.83,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
379,Nizwa,OM,71.37,clear sky,22.9333,57.5333,Orient Apartments
380,Hambantota,LK,75.69,clear sky,6.1241,81.1185,Bungalow 63
386,Itarema,BR,84.47,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
387,Podgorica,ME,42.58,overcast clouds,42.4411,19.2636,Hotel Podgorica
388,Banda Aceh,ID,79.11,broken clouds,5.5577,95.3222,Sulthan Hotel International
389,Chicontepec,MX,42.6,overcast clouds,20.9667,-98.1667,HOTEL LA GLORIETA
390,Margate,GB,49.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
392,Jalu,LY,58.24,clear sky,29.0331,21.5482,صاحبة الفخامة
394,Mandi Bahauddin,PK,55.29,overcast clouds,32.5834,73.4843,MBDIN SCHOOL & HOSTEL
395,San Francisco,US,58.68,overcast clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
396,Mackay,AU,73.69,broken clouds,-21.15,149.2,International Lodge Motel
397,Mobile,US,46.74,clear sky,30.7835,-88.2,Days Inn by Wyndham North Mobile
398,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
399,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
400,Belmonte,BR,82.83,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
