City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Tandur,IN,2022-02-01 05:14:00,17.2333,77.5833,81.59,20,2,4.0
178,Labytnangi,RU,2022-02-01 05:14:00,66.6572,66.4183,-21.93,100,97,2.82
179,Muriwai Beach,NZ,2022-02-01 05:14:01,-36.8167,174.45,77.86,61,88,15.3
180,Castro,BR,2022-02-01 05:09:33,-24.7911,-50.0119,61.02,92,6,2.8
181,Aksha,RU,2022-02-01 05:14:02,50.2814,113.2867,8.1,63,39,11.03
182,Vozdvizhenka,RU,2022-02-01 05:14:03,43.9,131.95,18.75,79,30,4.32
183,Dongzhen,CN,2022-02-01 05:14:03,22.3797,110.9389,55.58,79,100,6.2
184,Bambous Virieux,MU,2022-02-01 05:09:30,-20.3428,57.7575,84.22,77,100,23.51
185,Marzuq,YE,2022-02-01 05:15:03,14.4,46.4667,65.97,48,38,4.41
186,Chokurdakh,RU,2022-02-01 05:15:04,70.6333,147.9167,-13.61,96,100,1.88
187,Tazovskiy,RU,2022-02-01 05:15:04,67.4667,78.7,1.0,97,100,5.93
188,Amapa,BR,2022-02-01 05:15:05,1.0,-52.0,70.23,99,98,1.25
189,Gura Sutii,RO,2022-02-01 05:15:06,44.75,25.5167,32.72,68,100,6.08
190,Bathsheba,BB,2022-02-01 05:15:06,13.2167,-59.5167,83.01,34,20,13.8
191,Port Hardy,CA,2022-02-01 05:12:42,50.6996,-127.4199,39.76,81,53,10.65
192,Thinadhoo,MV,2022-02-01 05:15:07,0.5333,72.9333,83.32,67,15,10.69
193,Lata,PT,2022-02-01 05:15:08,40.1629,-8.3327,49.08,63,0,7.09
194,Smithers,CA,2022-02-01 05:15:08,54.7804,-127.1743,25.12,93,20,4.61
195,Chunoyar,RU,2022-02-01 05:15:08,57.4467,97.3217,8.65,89,100,2.15
196,Goundam,ML,2022-02-01 05:15:09,16.4145,-3.6708,66.02,17,21,10.69
197,Cockburn Town,TC,2022-02-01 05:15:09,21.4612,-71.1419,74.84,69,94,17.2
198,Denizli,TR,2022-02-01 05:15:10,37.8402,29.0698,34.65,79,100,4.76
199,Hailey,US,2022-02-01 05:15:10,43.5196,-114.3153,19.26,62,0,5.75
200,Tweed,CA,2022-02-01 05:15:05,44.4751,-77.3162,16.14,88,40,3.58
201,Lavrentiya,RU,2022-02-01 05:15:10,65.5833,-171.0,-2.16,81,19,11.59
202,Thompson,CA,2022-02-01 05:09:38,55.7435,-97.8558,3.04,95,100,10.89
203,Dhali,IN,2022-02-01 05:15:11,10.5,77.1667,82.76,68,40,5.84
204,Waingapu,ID,2022-02-01 05:15:11,-9.6567,120.2641,89.02,58,20,18.61
205,Luderitz,NA,2022-02-01 05:11:14,-26.6481,15.1594,64.06,94,51,7.18
206,Egvekinot,RU,2022-02-01 05:15:12,66.3167,-179.1667,-0.02,69,98,14.43
207,Lagos,NG,2022-02-01 05:15:12,6.5833,3.75,73.72,86,44,4.18
208,Viransehir,TR,2022-02-01 05:15:13,37.2353,39.7631,37.76,82,90,6.22
209,San Andres,CO,2022-02-01 05:15:13,12.5847,-81.7006,78.82,78,20,10.36
210,Nemyriv,UA,2022-02-01 05:15:14,48.9708,28.8378,27.34,95,97,6.35
211,Esil,KZ,2022-02-01 05:15:14,51.9556,66.4042,21.54,94,100,12.62
212,Okhotsk,RU,2022-02-01 05:15:15,59.3833,143.3,9.57,79,99,13.6
213,Broome,US,2022-02-01 05:15:15,42.2506,-75.833,13.8,76,10,3.0
214,Koslan,RU,2022-02-01 05:15:16,63.4564,48.8989,1.29,98,90,6.38
215,Yarmouth,US,2022-02-01 05:15:17,41.7057,-70.2286,31.14,85,0,0.0
216,La Ronge,CA,2022-02-01 05:15:17,55.1001,-105.2842,-7.35,71,75,12.66
217,Kroya,ID,2022-02-01 05:15:18,-7.6331,109.2461,89.19,65,100,5.88
218,Longyearbyen,SJ,2022-02-01 05:12:30,78.2186,15.6401,13.84,62,40,0.0
219,Staroutkinsk,RU,2022-02-01 05:15:18,57.2302,59.3348,20.14,95,100,6.42
220,Pendleton,US,2022-02-01 05:15:19,45.6721,-118.7886,38.61,75,0,1.99
221,Dunedin,NZ,2022-02-01 05:15:19,-45.8742,170.5036,64.8,88,99,15.01
222,Paranavai,BR,2022-02-01 05:15:11,-23.0731,-52.4653,68.67,95,14,4.36
223,Shenjiamen,CN,2022-02-01 05:15:20,29.9576,122.298,41.05,89,100,12.66
224,Caravelas,BR,2022-02-01 05:15:20,-17.7125,-39.2481,76.93,91,68,7.38
225,Pisco,PE,2022-02-01 05:15:20,-13.7,-76.2167,69.85,83,20,9.22
226,Phalaborwa,ZA,2022-02-01 05:15:21,-23.943,31.1411,72.68,77,0,5.57
227,Igrim,RU,2022-02-01 05:11:18,63.1906,64.4162,-20.18,100,87,1.3
228,Vicksburg,US,2022-02-01 05:15:21,32.3526,-90.8779,49.73,66,100,0.0
229,Antofagasta,CL,2022-02-01 05:15:22,-23.65,-70.4,63.68,83,6,0.67
230,Nioro,GM,2022-02-01 05:16:22,13.35,-15.75,74.73,18,87,7.2
231,Tiksi,RU,2022-02-01 05:16:23,71.6872,128.8694,-10.8,100,100,5.32
232,Port Blair,IN,2022-02-01 05:16:23,11.6667,92.75,80.64,65,40,9.22
233,Matsuura,JP,2022-02-01 05:16:24,33.3271,129.721,48.88,65,100,17.29
234,Ketchikan,US,2022-02-01 05:16:24,55.3422,-131.6461,33.78,96,94,2.62
235,Macenta,GN,2022-02-01 05:16:24,8.5435,-9.471,64.56,23,60,0.63
236,Khani,GE,2022-02-01 05:16:25,41.9563,42.9566,31.57,85,100,4.12
237,Komsomolskiy,UZ,2022-02-01 05:16:25,40.4272,71.7189,36.32,75,35,2.3
238,Klaksvik,FO,2022-02-01 05:16:26,62.2266,-6.589,41.92,80,99,43.98
239,Loknya,RU,2022-02-01 05:16:26,56.83,30.1467,22.23,95,100,6.58
240,Fredericksburg,US,2022-02-01 05:14:41,38.3032,-77.4605,29.98,77,0,0.0
241,Valdivia,CL,2022-02-01 05:16:27,-39.8142,-73.2459,48.29,90,77,2.17
242,Faya,SA,2022-02-01 05:16:27,18.3851,42.4509,54.12,59,7,2.84
243,Creel,MX,2022-02-01 05:16:28,27.75,-107.6333,34.21,62,1,1.99
244,Flinders,AU,2022-02-01 05:16:28,-34.5833,150.8552,92.05,67,37,4.0
245,Elliot,ZA,2022-02-01 05:16:29,-31.3333,27.85,61.84,89,100,3.2
246,Guerrero Negro,MX,2022-02-01 05:16:30,27.9769,-114.0611,60.01,77,12,11.05
247,Arlit,NE,2022-02-01 05:16:30,18.7369,7.3853,51.39,22,0,3.11
248,Vila Velha,BR,2022-02-01 05:16:30,-20.3297,-40.2925,75.15,95,0,5.01
249,Aklavik,CA,2022-02-01 05:16:31,68.2191,-135.0107,-6.77,98,100,2.46
250,Wakkanai,JP,2022-02-01 05:16:31,45.4094,141.6739,24.78,58,75,19.57
251,Bonavista,CA,2022-02-01 05:16:32,48.6499,-53.1147,30.11,64,39,18.77
252,Hobyo,SO,2022-02-01 05:16:32,5.3505,48.5268,79.52,76,63,17.52
253,Puerto Madryn,AR,2022-02-01 05:16:32,-42.7692,-65.0385,68.5,40,1,11.36
254,Altay,CN,2022-02-01 05:16:33,47.8667,88.1167,13.98,69,97,0.38
255,Tahoua,NE,2022-02-01 05:16:33,14.8888,5.2692,53.29,17,2,10.87
256,Victoria,HK,2022-02-01 05:05:56,22.2855,114.1577,57.33,85,100,8.99
257,Talnakh,RU,2022-02-01 05:16:33,69.4865,88.3972,4.21,96,99,9.35
258,Yulara,AU,2022-02-01 05:16:34,-25.2406,130.9889,73.24,88,75,13.8
259,Turukhansk,RU,2022-02-01 05:16:34,65.8167,87.9833,10.18,94,100,11.07
260,Kalabo,ZM,2022-02-01 05:16:35,-14.97,22.6814,66.24,94,98,8.66
261,Shirokiy,RU,2022-02-01 05:16:35,49.758,129.523,3.63,84,60,9.42
262,Lagoa,PT,2022-02-01 05:16:36,39.05,-27.9833,58.98,74,61,21.59
263,Cartagena,CO,2022-02-01 05:12:50,10.3997,-75.5144,78.42,78,75,13.8
264,Saint George,US,2022-02-01 05:16:36,37.1041,-113.5841,51.53,34,0,5.01
265,Nishihara,JP,2022-02-01 05:16:37,26.1842,127.7558,67.66,54,75,12.66
266,Sobolevo,RU,2022-02-01 05:16:37,54.4299,31.8996,19.31,96,98,7.78
267,Codrington,AU,2022-02-01 05:16:38,-38.2667,141.9667,61.43,60,93,21.03
268,Teahupoo,PF,2022-02-01 05:16:38,-17.8333,-149.2667,76.96,77,34,21.47
269,Udachnyy,RU,2022-02-01 05:16:38,66.4167,112.4,-26.95,98,65,3.06
270,Gongzhuling,CN,2022-02-01 05:16:39,43.5008,124.8198,16.25,48,5,9.69
271,Poum,NC,2022-02-01 05:16:39,-20.2333,164.0167,80.85,75,26,17.43
272,Newport,GB,2022-02-01 05:16:39,51.5877,-2.9984,49.86,88,95,1.01
